iter	Passed	Remaining
1463	30183	2803
1464	30204	2783
1465	30224	2762
1466	30244	2742
1467	30265	2721
1468	30286	2700
1469	30307	2680
1470	30328	2659
1471	30347	2638
1472	30365	2618
1473	30385	2597
1474	30404	2576
1475	30422	2555
1476	30443	2535
1477	30462	2514
1478	30481	2493
1479	30502	2473
1480	30522	2452
1481	30542	2431
1482	30561	2411
1483	30581	2390
1484	30601	2369
1485	30621	2349
1486	30641	2328
1487	30661	2307
1488	30681	2287
1489	30702	2266
1490	30724	2246
1491	30796	2229
1492	30821	2208
1493	30841	2188
1494	30862	2167
1495	30883	2147
1496	30905	2126
1497	30926	2105
1498	30947	2085
1499	30968	2064
1500	30991	2044
1501	31013	2023
1502	31034	2002
1503	31056	1982
1504	31078	1961
1505	31099	1941
1506	31121	1920
1507	31141	1899
1508	31162	1879
1509	31184	1858
1510	31206	1838
1511	31228	1817
1512	31249	1796
1513	31272	1776
1514	31293	1755
1515	31314	1735
1516	31334	1714
1517	31357	1693
1518	31379	1673
1519	31399	1652
1520	31420	1631
1521	31441	1611
1522	31462	1590
1523	31480	1569
1524	31501	1549
1525	31521	1528
1526	31543	1507
1527	31564	1487
1528	31585	1466
1529	31606	1446
1530	31628	1425
1531	31648	1404
1532	31669	1384
1533	31690	1363
1534	31711	1342
1535	31732	1322
1536	31754	1301
1537	31775	1280
1538	31797	1260
1539	31818	1239
1540	31840	1219
1541	31861	1198
1542	31881	1177
1543	31903	1157
1544	31925	1136
1545	31947	1115
1546	31968	1095
1547	31989	1074
1548	32010	1053
1549	32030	1033
1550	32051	1012
1551	32073	991
1552	32095	971
1553	32115	950
1554	32136	929
1555	32157	909
1556	32179	888
1557	32201	868
1558	32223	847
1559	32245	826
1560	32266	806
1561	32283	785
1562	32303	764
1563	32324	744
1564	32345	723
1565	32367	702
1566	32389	682
1567	32411	661
1568	32433	640
1569	32452	620
1570	32472	599
1571	32491	578
1572	32513	558
1573	32532	537
1574	32554	516
1575	32574	496
1576	32596	475
1577	32618	454
1578	32638	434
1579	32659	413
1580	32680	392
1581	32701	372
1582	32723	351
1583	32744	330
1584	32764	310
1585	32785	289
1586	32807	268
1587	32826	248
1588	32847	227
1589	32869	206
1590	32891	186
1591	32911	165
1592	32933	144
1593	32955	124
1594	32976	103
1595	32998	82
1596	33019	62
1597	33041	41
1598	33062	20
1599	33083	0
